Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,PCA1,PCA2,Customer Segment
29,5,1334.34,3,4,3,343,2,1.5684582399527875,0.004295809246124162,VIP Customers
267,1,152.55,1,1,1,111,1,-1.8302738514965526,0.8293829626934841,Lost Customers
64,2,374.7,2,2,2,222,0,-0.3869775952298902,-0.6494766333747095,Regular Customers
320,1,265.85,1,1,1,111,1,-1.971548872920771,1.3481565801606246,Lost Customers
4,8,1437.57,4,4,3,443,2,2.7035316131544733,0.25959775717176453,VIP Customers
32,1,151.04,3,1,1,311,0,-0.75098345872562,-1.1876253179155924,Regular Customers
5,3,942.26,4,3,3,433,0,0.7064538376334139,-0.6975904096202392,Regular Customers
129,1,118.67,2,1,1,211,0,-1.22631074280545,-0.3737292919693397,Regular Customers
41,5,499.42,3,4,2,342,0,0.7583302464807959,-0.3648642214434354,Regular Customers
102,6,1049.37,2,4,3,243,2,1.284014272211903,0.6065899490217801,VIP Customers
125,1,375.1,2,1,2,212,0,-0.9760492461265156,-0.26304629518206607,Regular Customers
33,1,45.599999999999994,3,1,1,311,0,-0.8509222193913909,-1.2386678799167117,Regular Customers
302,2,921.62,1,2,3,123,1,-0.9868967457682866,1.701676500947941,Lost Customers
365,1,182.25,1,1,1,111,1,-2.254075165776994,1.6869563773516987,Lost Customers
4,9,1002.9,4,4,3,443,2,2.619420013793842,0.1509479788800062,VIP Customers
3,1,191.47,4,1,1,411,0,-0.5810686058802064,-1.4135658684599415,Regular Customers
57,1,158.75,2,1,1,211,0,-0.8589753541350584,-0.9687811182887491,Regular Customers
325,1,76.32000000000001,1,1,1,111,1,-2.1659170506978946,1.2838821365647122,Lost Customers
12,1,433.86,4,1,2,412,0,-0.40328321726126826,-1.1992899611423977,Regular Customers
37,1,147.35,3,1,1,311,0,-0.7773126805619326,-1.146814956780331,Regular Customers
138,1,191.95,2,1,1,211,0,-1.2014368255551653,-0.25507806893983315,Regular Customers
5,5,1105.8799999999999,4,4,3,443,2,1.4722465662077822,-0.3307939702119698,VIP Customers
155,2,216.21,1,2,1,121,1,-0.9487530202744672,0.04162748499460754,Lost Customers
239,1,1266.23,1,1,3,113,1,-0.6945108621049288,1.2189001110637903,Lost Customers
52,7,2703.23,2,4,4,244,2,3.318305541111331,1.2499481496196503,VIP Customers
31,2,597.91,3,2,2,322,0,-0.03339653791949358,-0.8063802045039921,Regular Customers
73,1,144.2,2,1,1,211,0,-0.9457082162346213,-0.8397384498199936,Regular Customers
14,4,692.85,4,3,3,433,0,0.7484699345063431,-0.6242689238052371,Regular Customers
23,7,2915.15,3,4,4,344,2,3.6432838924193454,1.120978074556086,VIP Customers
4,4,1840.42,4,3,4,434,2,1.8321030724006286,-0.06115953680737157,VIP Customers
274,2,386.53,1,2,2,122,1,-1.341973131035138,1.1588826640803123,Lost Customers
20,5,1382.74,3,4,3,343,2,1.6536089684132103,-0.04555042540795577,VIP Customers
144,1,90.0,1,1,1,111,1,-1.32121255825282,-0.2612502778880743,Lost Customers
4,4,2780.15,4,3,4,434,2,2.6818192156758025,0.4702187646886799,VIP Customers
84,1,419.58,2,1,2,212,0,-0.7472899088628213,-0.5896493059268177,Regular Customers
11,3,2720.63,4,3,4,434,2,2.286888014721735,0.3594802787201615,VIP Customers
8,3,706.1300000000001,4,3,3,433,0,0.47914640129308383,-0.8053739797637556,Regular Customers
123,3,709.71,2,3,3,233,0,-0.04644805537083637,0.1832791292878125,Regular Customers
61,2,637.5,2,2,2,222,0,-0.13555479645444682,-0.5266122854536402,Regular Customers
2,5,1123.8600000000001,4,4,3,443,2,1.5022999224873728,-0.34636516842890097,VIP Customers
319,1,480.91,1,1,2,112,1,-1.7724902761043777,1.4611847012159371,Lost Customers
130,3,605.64,2,3,2,232,0,-0.17273925489114653,0.184487528941255,Regular Customers
2,2,965.88,4,2,3,423,0,0.4326842621324056,-0.8471104830851,Regular Customers
46,1,415.82,3,1,2,312,0,-0.5759454152160448,-0.9177918921909992,Regular Customers
4,2,935.05,4,2,3,423,0,0.3956103030971564,-0.8473848069805374,Regular Customers
3,4,915.13,4,3,3,433,0,1.0000423009050123,-0.5929519983779432,Regular Customers
373,1,311.81,1,1,2,112,1,-2.173713602120787,1.8288522232917919,Lost Customers
134,1,115.8,2,1,1,211,0,-1.251898509928722,-0.3324552548769131,Regular Customers
78,2,483.4,2,2,2,222,0,-0.3530691268561402,-0.4678999678871034,Regular Customers
234,1,157.2,1,1,1,111,1,-1.6743176016034163,0.5488927852251712,Lost Customers
221,1,446.62,1,1,2,112,1,-1.3528392997908343,0.6010158321145669,Lost Customers
36,2,658.64,3,2,2,322,0,-0.0014763541288848505,-0.7291430078070525,Regular Customers
75,2,621.29,2,2,2,222,0,-0.21459158199033268,-0.41566703924590365,Regular Customers
239,2,1345.62,1,2,3,123,1,-0.31380269343427913,1.4009299212358035,Lost Customers
266,1,118.75,1,1,1,111,1,-1.8562377179573344,0.8016910853340314,Lost Customers
20,2,424.89000000000004,3,2,2,322,0,-0.1392595959902743,-0.9985890179393386,Regular Customers
40,1,507.65999999999997,3,1,2,312,0,-0.46531127660234173,-0.9173364685195132,Regular Customers
216,3,1097.6200000000001,1,3,3,133,1,-0.12335853212331445,1.200508524681707,Lost Customers
174,2,289.36,1,2,1,121,1,-0.9699820019778511,0.24599900430615795,Lost Customers
87,4,2445.91,2,3,4,234,2,1.9979166255172804,0.9933085097258839,VIP Customers
71,2,1631.77,2,2,3,223,0,0.7174917761133142,0.12139992766374301,Regular Customers
276,1,120.44,1,1,1,111,1,-1.9006949491332787,0.888440516057588,Lost Customers
39,4,562.59,3,3,2,332,0,0.5157237625625003,-0.4834410312638443,Regular Customers
98,1,363.79,2,1,2,212,0,-0.8621154474988864,-0.5010849065295626,Regular Customers
11,4,450.84,4,3,2,432,0,0.5434369360988289,-0.7868536733677235,Regular Customers
33,1,134.46,3,1,1,311,0,-0.770573846463601,-1.1884212389975761,Regular Customers
297,4,576.9000000000001,1,3,2,132,1,-0.6577590108675789,1.7381308714804031,Lost Customers
86,4,549.46,2,3,2,232,0,0.2877202941234829,-0.08763461350378711,Regular Customers
9,7,1600.26,4,4,3,443,2,2.5187226675548136,0.25735103983314395,VIP Customers
41,2,701.57,3,2,3,323,0,0.014348837110354746,-0.6619709721315018,Regular Customers
67,1,452.89,2,1,2,212,0,-0.6389954745442671,-0.7166633538177116,Regular Customers
331,1,197.65,1,1,1,111,1,-2.0838000903129825,1.4039654980016223,Lost Customers
31,6,2054.36,3,4,4,344,2,2.5192353540006773,0.5657340494227978,VIP Customers
68,2,853.39,2,2,3,223,0,0.02746601620142624,-0.3444797891483119,Regular Customers
202,2,1012.0,1,2,3,123,1,-0.4453204564295799,0.8948445799131953,Lost Customers
107,1,335.52,2,1,2,212,0,-0.9290643669672272,-0.4398559925855637,Regular Customers
18,4,701.4,4,3,3,433,0,0.7378068157072843,-0.5851167314100608,Regular Customers
218,1,185.39999999999998,1,1,1,111,1,-1.5752422311709218,0.42756862506776144,Lost Customers
60,7,747.44,2,4,3,243,2,1.5130663903294714,0.2126651452252959,VIP Customers
2,1,150.61,4,1,1,411,0,-0.6134162165776547,-1.4452498827188889,Regular Customers
17,2,466.7,4,2,2,422,0,-0.0876588423792726,-1.0006853404742646,Regular Customers
239,1,328.15999999999997,1,1,2,112,1,-1.5427260116927282,0.688460470651756,Lost Customers
95,1,151.74,2,1,1,211,0,-1.040058222488478,-0.6467285199009922,Regular Customers
11,6,2073.43,4,4,4,444,2,2.628449399654714,0.40492973094928997,VIP Customers
106,6,1905.8400000000001,2,4,4,244,2,2.040051495219412,1.1252056994650468,VIP Customers
53,9,2241.1,2,4,4,244,2,3.513688409334374,1.2714883230358556,VIP Customers
90,1,1070.48,2,1,3,213,0,-0.1863288358133841,-0.17011609493390328,Regular Customers
31,5,1004.38,3,4,3,343,2,1.2609070268787157,-0.16512411107223657,VIP Customers
12,6,1789.72,4,4,4,444,2,2.3673165759477874,0.2530828849435088,VIP Customers
3,4,1839.3,4,3,4,434,2,1.8356888888937086,-0.07037223089834188,VIP Customers
43,1,169.48000000000002,3,1,1,311,0,-0.784893656193639,-1.0828250769907113,Regular Customers
4,1,89.94,4,1,1,411,0,-0.677471893463064,-1.4623974877872614,Regular Customers
247,2,632.4,1,2,2,122,1,-0.9954938164321655,1.066268665737354,Lost Customers
177,1,683.17,1,1,3,113,1,-0.9366121538167719,0.3572822906929725,Lost Customers
92,3,991.13,2,3,3,233,0,0.35057017418374403,0.07644965770941052,Regular Customers
110,4,1009.73,2,3,3,233,0,0.5935375983928067,0.3785340972109441,Regular Customers
29,5,2214.79,3,4,4,344,2,2.3645726327535144,0.5021537317900447,VIP Customers
52,3,1547.2,2,3,3,233,2,1.037317338083425,0.04770893356059261,VIP Customers
184,3,925.71,1,3,3,133,1,-0.1316486760562509,0.8287603778054676,Lost Customers
43,5,2048.07,3,4,4,344,2,2.1494427388520916,0.5279918215186112,VIP Customers
49,4,1462.72,3,3,3,333,2,1.2836477172209417,0.1113389201370478,VIP Customers
22,4,754.12,3,3,3,333,0,0.7670827879753029,-0.5209882377612471,Regular Customers
81,2,490.86,2,2,2,222,0,-0.36011930277017806,-0.437943505828367,Regular Customers
373,1,161.0,1,1,1,111,1,-2.3100779744057296,1.7435754292673173,Lost Customers
326,1,146.85,1,1,1,111,1,-2.1067414383712824,1.3323433040542556,Lost Customers
43,11,2380.85,3,4,4,344,2,4.303882923310004,1.5389934625377366,VIP Customers
30,2,890.34,3,2,3,323,0,0.2356210237114747,-0.649602560514699,Regular Customers
184,1,213.70000000000002,1,1,1,111,1,-1.3933028071724909,0.15187216016577046,Lost Customers
235,2,280.55,1,2,1,121,1,-1.2584587617347989,0.7643595309576097,Lost Customers
9,10,2588.77,4,4,4,444,2,4.3393144045215,1.2277265894946268,VIP Customers
220,2,1693.45,1,2,4,124,1,0.08808190423963136,1.4346051146649426,Lost Customers
111,3,1474.06,2,3,3,233,0,0.6998696221264294,0.5125347547369559,Regular Customers
278,1,136.77,1,1,1,111,1,-1.8951262200380468,0.9148332142839876,Lost Customers
318,1,302.58,1,1,1,111,1,-1.9291400568038883,1.3517671091137131,Lost Customers
7,3,1904.05,4,3,4,434,2,1.5669198508644575,-0.13657933278247605,VIP Customers
2,5,2879.7000000000003,4,4,4,444,2,3.089953389981527,0.6464894567281411,VIP Customers
260,2,969.0600000000001,1,2,3,123,1,-0.7508624027076027,1.3681678667283577,Lost Customers
142,1,120.0,2,1,1,211,0,-1.2848890960612585,-0.2614452845346456,Regular Customers
51,2,1163.45,3,2,3,323,0,0.386001416171183,-0.3150032014959835,Regular Customers
8,8,2618.23,4,4,4,444,2,3.7527056696017773,0.961529493655708,VIP Customers
155,2,333.97,1,2,2,122,1,-0.8422728897773196,0.10821587611139108,Lost Customers
109,2,530.18,2,2,2,222,0,-0.4533246285815441,-0.17548702174579076,Regular Customers
163,3,1516.24,1,3,3,133,2,0.4988855026674352,0.9825135842087881,VIP Customers
332,1,492.65000000000003,1,1,2,112,1,-1.8216557713568293,1.579355131472691,Lost Customers
226,1,112.32000000000001,1,1,1,111,1,-1.6781104029422111,0.4548799637396396,Lost Customers
74,2,437.96,2,2,2,222,0,-0.3757624280132617,-0.5279119237698658,Regular Customers
51,4,559.97,3,3,2,332,0,0.45817230282671734,-0.3819699654308245,Regular Customers
99,3,1119.74,2,3,3,233,0,0.4346712705540275,0.2092289375008728,Regular Customers
197,1,134.04,1,1,1,111,1,-1.5251133765370288,0.21835968495314545,Lost Customers
31,2,595.25,3,2,2,322,0,-0.035801744671552074,-0.8078843240723569,Regular Customers
21,4,1910.01,3,3,4,334,2,1.8168521624380225,0.12404018912289919,VIP Customers
8,3,176.63,4,3,1,431,0,0.0003655835430867022,-1.1047842472258558,Regular Customers
213,1,426.6,1,1,2,112,1,-1.3341533643415933,0.521060308549919,Lost Customers
9,6,911.26,4,4,3,443,2,1.586797172522359,-0.2693879169820625,VIP Customers
11,5,2314.65,4,4,4,444,2,2.537640981652292,0.4041915654439886,VIP Customers
3,4,1046.56,4,3,3,433,0,1.1188830239963854,-0.5186337897801269,Regular Customers
40,1,166.20000000000002,3,1,1,311,0,-0.7740638696692235,-1.1104179225848743,Regular Customers
18,4,1305.33,4,3,3,433,2,1.283888211861686,-0.24361938895796262,VIP Customers
19,1,43.2,3,1,1,311,0,-0.7887128389892679,-1.3601363085181586,Regular Customers
117,1,640.14,2,1,2,212,0,-0.699608334458551,-0.1818122231985624,Regular Customers
223,1,383.45,1,1,2,112,1,-1.4191555093379529,0.5824545808353252,Lost Customers
71,3,1858.96,2,3,4,234,2,1.2318426357442087,0.3870045018223444,VIP Customers
51,2,2093.32,3,2,4,324,2,1.2268020186285764,0.21079967934439986,VIP Customers
8,9,2352.53,4,4,4,444,2,3.8213789517807433,0.9484252354641781,VIP Customers
243,1,310.26,1,1,2,112,1,-1.5773055660526696,0.7126562861359361,Lost Customers
47,6,1611.59,3,4,3,343,2,2.045300373342278,0.45263608572418684,VIP Customers
107,1,120.0,2,1,1,211,0,-1.1239403666678491,-0.561723605132177,Regular Customers
45,6,2481.13,3,4,4,344,2,2.8407468718583586,0.9271660950268726,VIP Customers
65,1,508.58,2,1,2,212,0,-0.5794427787209822,-0.7023317320013909,Regular Customers
207,2,477.79,1,2,2,122,1,-0.9513527933418667,0.6356679059323223,Lost Customers
11,5,1530.75,4,4,3,443,2,1.8288283602467725,-0.03907134043616279,VIP Customers
115,2,605.0600000000001,2,2,2,222,0,-0.4132083650511876,-0.08166920690683054,Regular Customers
242,1,183.85,1,1,1,111,1,-1.6870086044338046,0.6325972985410441,Lost Customers
163,1,311.65,1,1,2,112,1,-1.208165899850681,0.02709182634910745,Lost Customers
124,2,462.65999999999997,2,2,2,222,0,-0.5833551215918743,-0.08497606978143306,Regular Customers
23,3,840.21,3,3,3,333,0,0.5314052621229789,-0.6008665973549043,Regular Customers
68,1,415.2,2,1,2,212,0,-0.6776738000777202,-0.7293961035042751,Regular Customers
17,8,2552.21,4,4,4,444,2,3.6516227069416285,1.0014123498155818,VIP Customers
16,2,454.86,4,2,2,422,0,-0.09376618993960116,-1.0159597495174422,Regular Customers
17,4,1614.91,4,3,3,433,2,1.568413027551979,-0.07714413196210655,VIP Customers
161,2,588.22,1,2,2,122,1,-0.6399679288346554,0.3034599792877958,Lost Customers
243,1,309.52,1,1,2,112,1,-1.5779746837205355,0.7122378468575189,Lost Customers
219,1,134.7,1,1,1,111,1,-1.625684368675909,0.40747926049983474,Lost Customers
45,8,2166.98,3,4,4,344,2,3.1745337245188154,1.0238034343683475,VIP Customers
21,4,668.5600000000001,3,3,2,332,0,0.6943168532864953,-0.5779482462705361,Regular Customers
127,8,889.9300000000001,2,4,3,243,2,1.6427285499714195,1.0051938851892084,VIP Customers
39,1,108.97999999999999,3,1,1,311,0,-0.8212044061048965,-1.1513528376477498,Regular Customers
121,2,1021.58,2,2,3,223,0,-0.06417675010230611,0.20533184452467323,Regular Customers
260,1,409.57,1,1,2,112,1,-1.565683263732877,0.9146614382210202,Lost Customers
10,1,133.5,4,1,1,411,0,-0.6656755831185999,-1.3862898326780708,Regular Customers
274,1,282.93,1,1,1,111,1,-1.7445722980017793,0.9631631040022417,Lost Customers
165,1,51.0,1,1,1,111,1,-1.4530461054115282,-0.10313616641911522,Lost Customers
157,4,1078.96,1,3,3,133,0,0.44000511796113534,0.820911675741877,Regular Customers
215,1,90.6,1,1,1,111,1,-1.6471660243263546,0.34822501898609803,Lost Customers
6,2,163.62,4,2,1,421,0,-0.31112385164281,-1.2664376843838714,Regular Customers
366,1,174.4,1,1,1,111,1,-2.265771773460287,1.69109690883807,Lost Customers
80,2,701.23,2,2,3,223,0,-0.1653014652271509,-0.32756738506464506,Regular Customers
43,1,225.12,3,1,1,311,0,-0.7345832412746404,-1.051362966921606,Regular Customers
19,3,912.18,3,3,3,333,0,0.6148756168903656,-0.594488072590405,Regular Customers
32,4,2118.03,3,3,4,334,2,1.9543626777727316,0.336040049510415,VIP Customers
22,1,151.5,3,1,1,311,0,-0.7045821694606057,-1.2731590128978014,Regular Customers
320,1,155.0,1,1,1,111,1,-2.0717808911409548,1.2854755071706836,Lost Customers
295,1,100.5,1,1,1,111,1,-2.006097125028065,1.0401735050612122,Lost Customers
358,1,76.55,1,1,1,111,1,-2.317460740835375,1.5671317514366419,Lost Customers
185,1,235.56,1,1,1,111,1,-1.378135244704032,0.17281246322211177,Lost Customers
191,2,617.05,1,2,2,122,1,-0.751855519945605,0.5771435650465666,Lost Customers
44,2,348.1,3,2,2,322,0,-0.3190589602399559,-0.8361054408283759,Regular Customers
52,1,202.68,2,1,1,211,0,-0.7962605985758754,-0.9868374300138598,Regular Customers
26,1,615.49,3,1,2,312,0,-0.3034304900801391,-0.9764744083913148,Regular Customers
38,3,1247.69,3,3,3,333,0,0.8308759748373863,-0.2417628653253956,Regular Customers
9,3,202.10999999999999,4,3,1,431,0,0.018806397305700374,-1.081796984456176,Regular Customers
297,1,142.4,1,1,1,111,1,-1.9774076678688712,1.081024976732382,Lost Customers
33,3,1727.6,3,3,4,334,2,1.2878095423373506,-0.013290587044601898,VIP Customers
65,2,1043.46,2,2,3,223,0,0.21312539878242714,-0.26274123679384986,Regular Customers
218,1,67.95,1,1,1,111,1,-1.6814420556180172,0.3611555260811257,Lost Customers
65,2,487.99,2,2,2,222,0,-0.28913783225740447,-0.5768364610944592,Regular Customers
149,1,574.7,1,1,2,112,0,-0.9059331614282808,0.0557243524177538,Regular Customers
130,4,1475.81,2,3,3,233,2,0.9230025210700465,0.8136705993657319,VIP Customers
34,6,1449.32,3,4,3,343,2,1.9583546759678987,0.24934718981857615,VIP Customers
119,1,156.75,2,1,1,211,0,-1.1458929580470365,-0.43799043877038885,Regular Customers
107,6,2157.73,2,4,4,244,2,2.263215188957053,1.2762184176758864,VIP Customers
11,7,2599.03,4,4,4,444,2,3.412626479917859,0.8392727714220848,VIP Customers
71,6,2059.4500000000003,2,4,4,244,2,2.3398963934788783,0.9117874566481636,VIP Customers
92,9,1100.27,2,4,3,243,2,2.3027921488558034,0.9609921632890197,VIP Customers
311,1,1063.0,1,1,3,113,1,-1.2093686122784593,1.721697385661875,Lost Customers
43,2,770.03,3,2,3,323,0,0.06705419326754597,-0.6061009231160575,Regular Customers
362,1,121.05,1,1,1,111,1,-2.295617399959056,1.6266121763441173,Lost Customers
92,7,1496.98,2,4,3,243,2,2.0436571268156296,0.9110390764152896,VIP Customers
22,2,490.22,3,2,2,322,0,-0.08938442672554285,-0.9444888539799025,Regular Customers
4,3,1937.25,4,3,4,434,2,1.610735329988533,-0.14354425286763553,VIP Customers
11,6,1051.79,4,4,3,443,2,1.7046691642513017,-0.17276527499968033,VIP Customers
99,1,387.52,2,1,2,212,0,-0.8452570065994691,-0.4790871961074912,Regular Customers
57,2,813.11,2,2,3,223,0,0.041628200336754274,-0.4616296433713466,Regular Customers
218,1,265.2,1,1,1,111,1,-1.5030860286091656,0.4726922121187069,Lost Customers
18,1,322.08,4,1,2,412,0,-0.5319473643847634,-1.211020626991777,Regular Customers
50,2,363.34000000000003,3,2,2,322,0,-0.33286996388733275,-0.7760115699959118,Regular Customers
7,5,1224.06,4,4,3,443,2,1.569909395941045,-0.2468093253547585,VIP Customers
303,1,470.36,1,1,2,112,1,-1.7084531619283745,1.3179490247900547,Lost Customers
10,6,2248.5,4,4,4,444,2,2.7913485160144083,0.4953451672155386,VIP Customers
22,6,1372.8,3,4,3,343,2,1.9443467137646169,0.10312573953428036,VIP Customers
99,1,89.06,2,1,1,211,0,-1.1151284378849537,-0.6478539353459016,Regular Customers
366,1,63.0,1,1,1,111,1,-2.3665011088660464,1.6281048336817379,Lost Customers
306,1,131.9,1,1,1,111,1,-2.0282887211777836,1.1523020879432395,Lost Customers
320,1,2661.24,1,1,4,114,1,0.19439406009181662,2.7026501789822293,Lost Customers
8,5,2357.68,4,4,4,444,2,2.590344875202208,0.4027851022599668,VIP Customers
1,4,1712.89,4,3,4,434,2,1.7305843856380996,-0.1590105990817347,VIP Customers
205,2,1589.82,1,2,3,123,1,0.06335633122935351,1.2473159431044782,Lost Customers
54,4,1420.2,2,3,3,233,2,1.2222079020829628,0.13019252832508865,VIP Customers
1,4,1010.35,4,3,3,433,0,1.0953385391752422,-0.5562678026753584,Regular Customers
19,5,1163.23,3,4,3,343,2,1.4597236937100264,-0.1782535978956174,VIP Customers
9,2,375.35,4,2,2,422,0,-0.1334704248339169,-1.120975017727433,Regular Customers
19,4,885.8,3,3,3,333,0,0.8999451697094251,-0.4722668063078466,Regular Customers
181,3,483.25,1,3,2,132,1,-0.5179311832796043,0.5528294750554876,Lost Customers
60,2,643.9,2,2,2,222,0,-0.12516929771494548,-0.5315727317423159,Regular Customers
11,2,259.05,4,2,1,421,0,-0.24782747450767834,-1.1695790782800672,Regular Customers
190,1,119.93,1,1,1,111,1,-1.5056820770010333,0.15032540161949337,Lost Customers
311,1,113.64,1,1,1,111,1,-2.0677923273665373,1.1848737189615552,Lost Customers
155,1,1837.92,1,1,4,114,0,0.208695655388254,0.8214991025464439,Regular Customers
110,3,434.34,2,3,2,232,0,-0.23566025036093768,-0.0839631211975217,Regular Customers
148,3,2103.06,1,3,4,134,2,1.0984738401679892,1.1856452231661838,VIP Customers
66,11,1980.57,2,4,4,244,2,3.8361782098913317,1.5099774939585655,VIP Customers
98,3,529.62,2,3,2,232,0,-0.09432440805156693,-0.13303880387088488,Regular Customers
247,3,1038.44,1,3,3,133,1,-0.31942445018259874,1.433005489821539,Lost Customers
29,7,2272.4,3,4,4,344,2,3.034509734340768,0.809005917272616,VIP Customers
18,4,596.26,4,3,2,432,0,0.6427378540864446,-0.6445690364543766,Regular Customers
12,2,461.19,4,2,2,422,0,-0.06964838073804966,-1.046697919665525,Regular Customers
104,8,1852.67,2,4,4,244,2,2.619016943752062,1.3522576328745792,VIP Customers
74,2,234.34,2,2,1,221,0,-0.5598782922441481,-0.6430505803527418,Regular Customers
46,1,547.66,3,1,2,312,0,-0.4567339647681513,-0.8432418456146002,Regular Customers
72,3,925.85,2,3,3,233,0,0.38351384783171444,-0.13205108391882447,Regular Customers
257,1,193.0,1,1,1,111,1,-1.747713081774839,0.766461952500339,Lost Customers
20,4,1309.6,3,3,3,333,2,1.2785521313968333,-0.2240461200527961,VIP Customers
254,2,316.25,1,2,2,122,1,-1.313550522710586,0.9475546300303391,Lost Customers
11,1,279.05,4,1,1,411,0,-0.5386659066794194,-1.2954079696927638,Regular Customers
165,2,636.51,1,2,2,122,1,-0.6146976204431854,0.36508349185094907,Lost Customers
18,6,2022.81,4,4,4,444,2,2.5504883884417455,0.4363618865911164,VIP Customers
282,1,137.1,1,1,1,111,1,-1.913221970228805,0.9493373379378262,Lost Customers
50,1,321.92,3,1,2,312,0,-0.6792451624919441,-0.9365709215172434,Regular Customers
39,1,162.8,3,1,1,311,0,-0.7725396589636221,-1.1209198620201575,Regular Customers
27,6,1165.48,3,4,3,343,2,1.733892585566771,0.028791789501822523,VIP Customers
68,1,1064.28,2,1,3,213,0,-0.09076718405285132,-0.36236831048387874,Regular Customers
207,1,463.38,1,1,2,112,1,-1.2733051970693725,0.49038158807322146,Lost Customers
175,2,340.93,1,2,2,122,1,-0.9279502693576409,0.283739078932469,Lost Customers
7,5,2383.24,4,4,4,444,2,2.6180550962610476,0.40865884053139256,VIP Customers
26,1,139.56,3,1,1,311,0,-0.7337726139550326,-1.2455930648469093,Regular Customers
51,2,123.8,3,2,1,321,0,-0.5540636965271822,-0.9028821147480558,Regular Customers
312,2,538.8100000000001,1,2,2,122,1,-1.3790239003150977,1.5710071444398122,Lost Customers
309,1,475.37,1,1,2,112,1,-1.7315142652274653,1.3722582553276421,Lost Customers
43,5,1957.32,3,4,4,344,2,2.0673854032320493,0.4766764640640585,VIP Customers
26,3,808.44,3,3,3,333,0,0.4888828076814012,-0.5930930716371277,Regular Customers
88,3,356.85,2,3,2,232,0,-0.2045599479817027,-0.3165268720966437,Regular Customers
184,2,251.21,1,2,1,121,1,-1.0504630816507925,0.31022056901330264,Lost Customers
20,11,2429.83,3,4,4,344,2,4.453937587105306,1.3693638655655658,VIP Customers
47,4,673.26,3,3,3,333,0,0.5790047414268329,-0.3522266960930787,Regular Customers
17,5,1960.65,4,4,4,444,2,2.1899583460011214,0.255495545515913,VIP Customers
24,6,1367.88,3,4,3,343,2,1.9307009152353216,0.11750244496829158,VIP Customers
22,2,268.05,3,2,1,321,0,-0.2902734433063113,-1.0701167654474282,Regular Customers
11,5,1314.81,4,4,3,443,2,1.6335725910589833,-0.1611764455462023,VIP Customers
188,2,275.28,1,2,1,121,1,-1.0470928136859607,0.3581486770855551,Lost Customers
101,3,455.59000000000003,2,3,2,232,0,-0.17505890660667603,-0.1491615537016414,Regular Customers
61,3,990.2,2,3,3,233,0,0.49228384492489363,-0.1900370169245607,Regular Customers
18,6,2076.89,4,4,4,444,2,2.5993882309798377,0.46694188142463927,VIP Customers
33,2,330.45,3,2,2,322,0,-0.2844344344508367,-0.9404589695506225,Regular Customers
64,1,174.37,2,1,1,211,0,-0.8770412919433815,-0.899892992643732,Regular Customers
2,2,270.6,4,2,1,421,0,-0.19599699748084826,-1.2402624580823596,Regular Customers
24,4,974.54,3,3,3,333,0,0.9571923614418228,-0.37919111746432843,Regular Customers
108,1,241.09,2,1,1,211,0,-1.019047741790831,-0.4846728566740148,Regular Customers
32,9,1843.83,3,4,4,344,2,3.251040922763543,0.8666816386005314,VIP Customers
37,1,364.21999999999997,3,1,2,312,0,-0.5812159932239876,-1.0241839752798483,Regular Customers
60,3,578.61,2,3,2,232,0,0.12471732475727267,-0.43135345508572587,Regular Customers
26,6,2862.11,3,4,4,344,2,3.272606132626532,0.9795862372121371,VIP Customers
236,4,932.85,1,3,3,133,1,-0.05539372783634619,1.4160636030854072,Lost Customers
25,7,1949.72,3,4,4,344,2,2.761132403130749,0.5922262511893008,VIP Customers
60,3,2854.84,2,3,4,234,2,2.182914228982156,0.8557601107410088,VIP Customers
260,1,170.95,1,1,1,111,1,-1.7814465852276915,0.7797317346859752,Lost Customers
58,1,355.56,2,1,2,212,0,-0.6856157160001938,-0.8489138533957801,Regular Customers
65,2,388.25,2,2,2,222,0,-0.3793240433289526,-0.6332352903232975,Regular Customers
16,2,537.48,4,2,2,422,0,-0.019060106535437327,-0.9692415695406362,Regular Customers
10,3,952.66,4,3,3,433,0,0.692864977878494,-0.6488127384405188,Regular Customers
59,8,1453.35,2,4,3,243,2,2.4648806634112526,0.7403866244223206,VIP Customers
186,1,103.25,1,1,1,111,1,-1.502370210417853,0.10657603174657033,Lost Customers
24,2,2004.3,3,2,4,324,2,1.2704694199996385,-0.0711807108217556,VIP Customers
5,5,2573.93,4,4,4,444,2,2.7996765558166268,0.4993273577346513,VIP Customers
151,2,652.8,1,2,2,122,0,-0.535588497862125,0.2541834823219603,Regular Customers
311,1,289.24,1,1,1,111,1,-1.9090125132080866,1.284168228813009,Lost Customers
11,2,757.37,4,2,3,423,0,0.20275997988548225,-0.887799806359928,Regular Customers
18,2,186.23,4,2,1,421,0,-0.34586201575662423,-1.1507001009907596,Regular Customers
152,1,164.22,1,1,1,111,1,-1.290890145596207,-0.15064690447178183,Lost Customers
19,5,859.27,3,4,3,343,2,1.1848790905687818,-0.3501303587979402,VIP Customers
10,4,2279.4900000000002,4,3,4,434,2,2.2015246919581264,0.23859260344617267,VIP Customers
57,2,312.54,2,2,2,222,0,-0.4109937334519445,-0.744681196881268,Regular Customers
85,1,788.38,2,1,3,213,0,-0.4184146657330143,-0.3725288363108902,Regular Customers
76,3,1080.76,2,3,3,233,0,0.505191353179756,-0.010138387754520766,Regular Customers
